"id.site","obs.year","eco.name","region","mngm.type","hydrology","site.cwm.pres.oek.f","site.type","rest.meth","rest.meth.type","land.use.hist","rest.age","pH.site"
"S_JHB","2023","Western European broadleaf forests","south","mowing","moist",5.8275,"restored","cus","cus","arable land",36,5.865
"S_JOS","2022","Western European broadleaf forests","south","mowing","fresh",5.025,"restored","res","res","grassland",3,6.395
"S_KDT","2023","Western European broadleaf forests","south","mowing","fresh",4.625,"positive",NA,"positive",NA,NA,7.15
"S_KRT","2023","Western European broadleaf forests","south","both","dry",4.1375,"restored","dih","dih","grassland",13,7.3
"S_LAP","2023","Western European broadleaf forests","south","mowing","fresh",5.405,"restored","res","res","grassland",20,7.16
"S_LPI","2023","Western European broadleaf forests","south","mowing","dry",4.2575,"restored","dih","dih","arable land",3,7.41
"S_MAS","2023","Western European broadleaf forests","south","mowing","moist",6.0125,"restored","cus","cus","grassland",20,7.275
"S_MBM","2022","Western European broadleaf forests","south","mowing","moist",4.8725,"restored","dih","dih","arable land",15,7.39
"S_MCH","2023","Western European broadleaf forests","south","mowing","fresh",4.3225,"restored","res","res","grassland",2,7.425
"S_MHH","2023","Western European broadleaf forests","south","both","dry",4.24,"positive",NA,"positive",NA,NA,6.68
"S_MTK","2023","Western European broadleaf forests","south","mowing","fresh",5.1475,"positive",NA,"positive",NA,NA,5.345
"S_NOZ","2022","Western European broadleaf forests","south","mowing","fresh",4.87,"restored","res","res","arable land",2,6.985
"S_OST","2023","Western European broadleaf forests","south","mowing","moist",5.2575,"restored","dih","dih","arable land",13,7.45
"S_OSW","2023","Western European broadleaf forests","south","mowing","fresh",4.82,"restored","dih","dih","arable land",11,5.195
"S_PEI","2022","Western European broadleaf forests","south","mowing","fresh",5.375,"restored","dih","dih","grassland",2,5.96
"S_PEN","2022","Western European broadleaf forests","south","mowing","moist",5.8075,"negative",NA,"negative",NA,NA,6.43
"S_POP","2023","Western European broadleaf forests","south","mowing","fresh",5.075,"restored","res","res","arable land",6,6.34
"S_RUP","2023","Western European broadleaf forests","south","mowing","fresh",5.445,"negative",NA,"negative",NA,NA,6.47
"S_SBA","2022","Western European broadleaf forests","south","mowing","dry",4.1525,"positive",NA,"positive",NA,NA,7.155
"S_SBN","2022","Western European broadleaf forests","south","mowing","dry",4.2325,"restored","dih","dih","arable land",15,7.42
"S_SHH","2022","Western European broadleaf forests","south","grazing","dry",4.285,"restored","dih","dih","arable land",22,5.915
"S_SIM","2023","Western European broadleaf forests","south","mowing","fresh",4.5725,"positive",NA,"positive",NA,NA,6.405
"S_SNF","2022","Western European broadleaf forests","south","mowing","moist",5.9475,"restored","dih","dih","arable land",4,5.515
"S_STB","2023","Western European broadleaf forests","south","mowing","moist",5.16,"restored","dih","dih","arable land",17,5.125
"S_STW","2022","Western European broadleaf forests","south","mowing","moist",6.4975,"positive",NA,"positive",NA,NA,7.345
"S_TIE","2023","Western European broadleaf forests","south","mowing","fresh",4.8675,"restored","res","res","arable land",6,7.26
"S_TRN","2023","Western European broadleaf forests","south","mowing","fresh",4.6425,"restored","dih","dih","arable land",3,6.16
"S_UKB","2023","Western European broadleaf forests","south","mowing","fresh",5.205,"negative",NA,"negative",NA,NA,6.65
"S_VIB","2023","Western European broadleaf forests","south","mowing","moist",5.5475,"negative",NA,"negative",NA,NA,6.06
"S_VLP","2022","Western European broadleaf forests","south","mowing","moist",6.2525,"positive",NA,"positive",NA,NA,5.69
"S_VLR","2022","Western European broadleaf forests","south","mowing","fresh",5.47,"restored","cus","cus","arable land",23,5.37
"S_WGD","2022","Western European broadleaf forests","south","mowing","fresh",5.165,"restored","cus","cus","arable land",2,6.07
"S_WLF","2023","Western European broadleaf forests","south","mowing","fresh",5.6025,"negative",NA,"negative",NA,NA,5.98
"S_WNG","2023","Western European broadleaf forests","south","mowing","dry",4.09,"positive",NA,"positive",NA,NA,7.305
"S_WNK","2023","Western European broadleaf forests","south","mowing","fresh",4.9875,"restored","dih","dih","grassland",11,5.405
"S_WTB","2023","Western European broadleaf forests","south","mowing","fresh",5.51,"negative",NA,"negative",NA,NA,5.92
"S_WTH","2022","Western European broadleaf forests","south","mowing","moist",5.26,"restored","dih","dih","grassland",20,7.16
"S_WTZ","2023","Western European broadleaf forests","south","mowing","fresh",4.91,"restored","dih","dih","arable land",5,5.855
